Date,05T,59T,61T,52T,54T,,,,,,,,,,,,,,
15/10/2016,40,23,N/A,35,N/A,,,,,,,,,,,,,,
16/10/2016,27,20,N/A,26,N/A,,,,,,,,,,,,,,
17/10/2016,31,25,N/A,34,N/A,,,,,,,,,,,,,,
18/10/2016,47,42,N/A,60,N/A,,,,,,,,,,,,,,
19/10/2016,30,28,N/A,31,N/A,,,,,,,,,,,,,,
20/10/2016,16,16,N/A,17,N/A,,,,,,,,,,,,,,
21/10/2016,22,16,N/A,21,N/A,,,,,,,,,,,,,,
22/10/2016,25,15,N/A,23,N/A,,,,,,,,,,,,,,
23/10/2016,25,12,N/A,26,N/A,,,,,,,,,,,,,,
24/10/2016,34,22,N/A,34,N/A,,,,,,,,,,,,,,
25/10/2016,35,18,N/A,33,N/A,,,,,,,,,,,,,,
26/10/2016,30,21,16,26,N/A,,,,,,,,,,,,,,
27/10/2016,26,16,14,20,N/A,,,,,,,,,,,,,,
28/10/2016,33,18,17,26,N/A,,,,,,,,,,,,,,
29/10/2016,30,15,14,25,N/A,,,,,,,,,,,,,,
30/10/2016,25,14,14,23,N/A,,,,,,,,,,,,,,
31/10/2016,23,13,10,17,N/A,,,,,,,,,,,,,,
01/11/2016,22,14,12,20,N/A,,,,,,,,,,,,,,
02/11/2016,27,14,12,19,N/A,,,,,,,,,,,,,,
03/11/2016,30,18,21,30,N/A,,,,,,,,,,,,,,
04/11/2016,43,26,31,39,N/A,,,,,,,,,,,,,,
05/11/2016,66,33,41,56,N/A,,,,,,,,,,,,,,
06/11/2016,75,45,54,75,N/A,,,,,,,,,,,,,,
07/11/2016,62,64,49,81,N/A,,,,,,,,,,,,,,
08/11/2016,28,22,23,29,N/A,,,,,,,,,,,,,,
09/11/2016,32,26,23,30,N/A,,,,,,,,,,,,,,
10/11/2016,30,26,20,27,N/A,,,,,,,,,,,,,,
11/11/2016,26,17,15,25,N/A,,,,,,,,,,,,,,
12/11/2016,32,23,19,32,N/A,,,,,,,,,,,,,,
13/11/2016,25,17,19,23,N/A,,,,,,,,,,,,,,
14/11/2016,36,27,22,43,N/A,,,,,,,,,,,,,,
15/11/2016,32,21,15,38,N/A,,,,,,,,,,,,,,
16/11/2016,39,18,17,25,N/A,,,,,,,,,,,,,,
17/11/2016,36,23,22,31,N/A,,,,,,,,,,,,,,
18/11/2016,35,24,22,32,N/A,,,,,,,,,,,,,,
19/11/2016,34,27,N/A,43,N/A,,,,,,,,,,,,,,
20/11/2016,45,25,N/A,40,N/A,,,,,,,,,,,,,,
21/11/2016,51,36,N/A,56,N/A,,,,,,,,,,,,,,
22/11/2016,46,32,N/A,49,N/A,,,,,,,,,,,,,,
23/11/2016,48,37,44,55,N/A,,,,,,,,,,,,,,
24/11/2016,27,21,21,30,N/A,,,,,,,,,,,,,,
25/11/2016,36,25,28,35,N/A,,,,,,,,,,,,,,
26/11/2016,29,18,26,30,N/A,,,,,,,,,,,,,,
27/11/2016,21,10,17,16,N/A,,,,,,,,,,,,,,
28/11/2016,26,14,20,19,N/A,,,,,,,,,,,,,,
29/11/2016,32,22,27,34,N/A,,,,,,,,,,,,,,
30/11/2016,49,26,36,40,N/A,,,,,,,,,,,,,,
01/12/2016,33,23,29,N/A,N/A,,,,,,,,,,,,,,
02/12/2016,37,24,31,N/A,N/A,,,,,,,,,,,,,,
03/12/2016,38,26,33,37,N/A,,,,,,,,,,,,,,
04/12/2016,34,23,31,32,N/A,,,,,,,,,,,,,,
05/12/2016,31,23,32,36,N/A,,,,,,,,,,,,,,
06/12/2016,36,23,34,38,N/A,,,,,,,,,,,,,,
07/12/2016,53,32,45,56,N/A,,,,,,,,,,,,,,
08/12/2016,62,39,54,68,N/A,,,,,,,,,,,,,,
09/12/2016,62,35,51,63,N/A,,,,,,,,,,,,,,
10/12/2016,54,39,51,61,N/A,,,,,,,,,,,,,,
11/12/2016,67,45,63,80,N/A,,,,,,,,,,,,,,
12/12/2016,62,41,62,76,N/A,,,,,,,,,,,,,,
13/12/2016,61,39,54,76,N/A,,,,,,,,,,,,,,
14/12/2016,55,41,53,63,N/A,,,,,,,,,,,,,,
15/12/2016,28,18,24,26,N/A,,,,,,,,,,,,,,
16/12/2016,25,16,N/A,28,N/A,,,,,,,,,,,,,,
17/12/2016,34,22,N/A,42,N/A,,,,,,,,,,,,,,
18/12/2016,45,32,N/A,54,N/A,,,,,,,,,,,,,,
19/12/2016,52,35,N/A,60,N/A,,,,,,,,,,,,,,
20/12/2016,53,35,N/A,60,N/A,,,,,,,,,,,,,,
21/12/2016,66,40,N/A,76,N/A,,,,,,,,,,,,,,
22/12/2016,38,24,N/A,39,N/A,,,,,,,,,,,,,,
23/12/2016,29,16,N/A,26,N/A,,,,,,,,,,,,,,
24/12/2016,38,24,N/A,36,N/A,,,,,,,,,,,,,,
25/12/2016,50,34,N/A,56,N/A,,,,,,,,,,,,,,
26/12/2016,59,37,N/A,64,N/A,,,,,,,,,,,,,,
27/12/2016,32,20,29,34,N/A,,,,,,,,,,,,,,
28/12/2016,29,17,27,30,N/A,,,,,,,,,,,,,,
29/12/2016,49,31,45,50,N/A,,,,,,,,,,,,,,
30/12/2016,49,29,49,51,N/A,,,,,,,,,,,,,,
31/12/2016,46,27,41,50,N/A,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
